# English GML string literal (escaped)\tKorean GML string literal (escaped)
Harp	하프
Tick: 	틱: 
Layer: 	레이어: 
Selected: 	선택: 
None	없음
Velocity: 	세기: 
Panning: 	패닝: 
Pitch: 	미세 음정: 
 cents	 센트
Next auto-save: 	다음 자동 저장: 
Sounds: 	소리: 
MIDI devices: 	MIDI 장치: 
No connected MIDI devices	연결된 MIDI 장치 없음
Song Position	곡 재생 위치
Position of the marker in bars, beats and sixteenths.	마커 위치를 마디, 박자, 16분음표로 표시합니다.
Tempo of the song (measured in beats per minute).\nClick and drag to change. Click to enter value. Right-click for more options.	곡의 템포 (분당 박자 수).\n드래그하여 변경, 클릭하여 입력, 우클릭하여 추가 옵션을 봅니다.
Tempo of the song (measured in ticks per second).\nClick and drag to change. Click to enter value. Right-click for more options.	곡의 템포 (초당 틱 수).\n드래그하여 변경, 클릭하여 입력, 우클릭하여 추가 옵션을 봅니다.
Tip: click the tempo box\nto enter a value!	팁: 템포 상자를 클릭하면\n값을 입력할 수 있습니다!
Ticks per second (t/s)	초당 틱 수 (t/s)
Beats per minute (BPM)	분당 박자 수 (BPM)
Tempo tapper	탭으로 템포 설정
Way to go!	잘하셨습니다!
Update	업데이트
Downloading update...	업데이트 다운로드 중...
No limit	제한 없음
Could not find file:	파일을 찾을 수 없습니다:
Could not find file:\n	파일을 찾을 수 없습니다:\n
Error	오류
Warning	경고
Confirm	확인
Are you sure?	계속하시겠습니까?
Are you sure? This cannot be undone.	계속하시겠습니까? 되돌릴 수 없습니다.
Transpose selected notes so that they fall within Minecraft's 2 octaves?	선택한 음표를 마인크래프트의 2옥타브 범위 안으로 조옮김할까요?
Transpose notes so that they fall within Minecraft's 2 octaves?	음표를 마인크래프트의 2옥타브 범위 안으로 조옮김할까요?
Transpose notes	조옮김
Version 	버전 
 is available! Do you want to download it?	을 사용할 수 있습니다! 다운로드할까요?
Update available!	업데이트 가능!
Download complete! Click OK to begin installing the update.	다운로드 완료! 확인을 누르면 업데이트를 설치합니다.
Failed to download update. Do you want to open the Note Block Studio website and update manually?	업데이트 다운로드에 실패했습니다. 웹사이트를 열어 직접 업데이트할까요?
Failed	실패
Could not access file directory. Try running in administrator mode or re-install.	파일 폴더에 접근할 수 없습니다. 관리자 권한으로 실행하거나 다시 설치해 보세요.
Export MP3	MP3 내보내기
There was an error when saving as MP3.\nError code: 	MP3 저장 중 오류가 발생했습니다.\n오류 코드: 
MP3 saved! Do you want to open it?	MP3를 저장했습니다! 열어 볼까요?
MP3 Export	MP3 내보내기
Data Pack Export	데이터 팩 내보내기
Data Pack Folder	데이터 팩 폴더
Data pack saved!	데이터 팩을 저장했습니다!
To play the song in-game, use:	게임에서 곡을 재생하려면 다음 명령을 사용하세요:
To play the song using a command block or function, use:	명령 블록이나 함수로 재생하려면 다음 명령을 사용하세요:
(Replace @p with the player(s) you want to play the song to.)	(@p를 곡을 들려줄 플레이어로 바꾸세요.)
If you wish to uninstall it from your world, run:	월드에서 제거하려면 다음 명령을 실행하세요:
and then remove it from the 'datapacks' folder.	그런 다음 'datapacks' 폴더에서 삭제하세요.
Save extra notes for data pack	데이터 팩의 추가 음역 저장
Extra Note Blocks	추가 소리 블록
Resource pack saved successfully!	리소스 팩을 저장했습니다!
Saved	저장 완료
Replaces instrument blocks with note block textures.	악기 블록을 소리 블록 텍스처로 바꿉니다.
Note Block Textures	소리 블록 텍스처
File not found!	파일을 찾을 수 없습니다!
Do you want to save the song?	곡을 저장할까요?
Do you want to save the song before quitting?	종료하기 전에 곡을 저장할까요?
Do you want to save the changes made in 	다음 곡의 변경 사항을 저장할까요? 
Do you want to save the song (tab 	곡을 저장할까요? (탭 
 (tab 	 (탭 
) before quitting?	) — 종료 전 저장
 before quitting?	 — 종료 전 저장
Load sound file	소리 파일 불러오기
Couldn't load the file 	파일을 불러오지 못했습니다: 
Couldn't load the file	파일을 불러오지 못했습니다
! Error: 	! 오류: 
Load instruments from song	곡에서 악기 불러오기
This file does not contain any custom instruments.	이 파일에는 사용자 지정 악기가 없습니다.
Pack instruments to ZIP file	악기를 ZIP으로 묶기
Pack instruments	악기 묶기
Load song	곡 불러오기
Load Song	곡 불러오기
Error: This file cannot be opened in this program.	오류: 이 프로그램에서 열 수 없는 파일입니다.
Warning: You are opening an older NBS file. Saving this file will make it incompatible with older Note Block Studio versions.	이전 형식의 NBS 파일입니다. 저장하면 이전 버전의 Note Block Studio에서 열 수 없게 됩니다.
Warning: You are opening an NBS file created in a later version of Note Block Studio.\nPlease save the song as a version 	더 최신 버전의 Note Block Studio에서 만든 NBS 파일입니다.\n저장 옵션에서 다음 버전 이하로 저장하세요: 
 file or lower via the Save Options menu.	 이하.
This song uses custom instruments. However, some sounds could not be loaded:	이 곡은 사용자 지정 악기를 사용하지만 다음 소리를 불러오지 못했습니다:
This song uses custom instruments. However, some sounds could not be loaded:\n\n	이 곡은 사용자 지정 악기를 사용하지만 다음 소리를 불러오지 못했습니다:\n\n
Make sure that you have put the sounds in the \"Sounds\" folder. Open Instrument settings?	소리 파일이 \"Sounds\" 폴더에 있는지 확인하세요. 악기 설정을 열까요?
\nMake sure that you have put the sounds in the \"Sounds\" folder. Open Instrument settings?	\n소리 파일이 \"Sounds\" 폴더에 있는지 확인하세요. 악기 설정을 열까요?
Save pattern	패턴 저장
Load pattern	패턴 불러오기
Error: This file is not a pattern.	오류: 패턴 파일이 아닙니다.
Error: This pattern could not be opened.	오류: 패턴을 열 수 없습니다.
Warning: You are opening an older NBP file. Saving this file will make it incompatible with older Note Block Studio versions.	이전 형식의 NBP 파일입니다. 저장하면 이전 버전의 Note Block Studio에서 열 수 없게 됩니다.
Warning: You are opening an NBP file created in a later version of Note Block Studio. It may crash when opening.	더 최신 버전에서 만든 NBP 파일입니다. 여는 중 오류가 발생할 수 있습니다.
There are more custom instruments in the pattern than what is loaded in the song!	패턴에 곡보다 많은 사용자 지정 악기가 있습니다!
Song saved	곡을 저장했습니다
Song auto saved	곡을 자동 저장했습니다
Error loading MIDI file:\n\nFirst 4 bytes must be MThd.\n\nContinue anyway?	MIDI 불러오기 오류:\n\n처음 4바이트는 MThd여야 합니다.\n\n계속할까요?
Error loading MIDI file:\n\nHeader size must be 00 00 00 06	MIDI 불러오기 오류:\n\n헤더 크기는 00 00 00 06이어야 합니다.
Error loading MIDI file:\n\nFormat not supported.	MIDI 불러오기 오류:\n\n지원하지 않는 형식입니다.
Error loading MIDI file:\n\nTrack chunk must begin with MTrk.	MIDI 불러오기 오류:\n\n트랙 청크는 MTrk로 시작해야 합니다.
Error loading MIDI file:\n\nUnknown MIDI event	MIDI 불러오기 오류:\n\n알 수 없는 MIDI 이벤트입니다.
There must be exactly two layers worth of note blocks in every applicable tick!	적용할 각 틱에 소리 블록이 정확히 두 레이어에 있어야 합니다!
 notes were edited.	개 음표를 수정했습니다.
NOTE: Since this block is outside the 2 octave limit, you won't be able to import it into Minecraft without a resource pack.\n\nThis warning will never be shown again.	이 블록은 2옥타브 범위를 벗어나므로 마인크래프트에서 사용하려면 리소스 팩이 필요합니다.\n\n이 경고는 다시 표시하지 않습니다.
NOTE: Since this block has a custom instrument, you won't be able to import it into Minecraft without mods or resource packs.\n\nThis warning will never be shown again.	이 블록은 사용자 지정 악기이므로 마인크래프트에서 사용하려면 모드나 리소스 팩이 필요합니다.\n\n이 경고는 다시 표시하지 않습니다.
Transpose one octave up	한 옥타브 올리기
Transpose one octave down	한 옥타브 내리기
Transpose up	반음 올리기
Transpose down	반음 내리기
Increase velocity by 10	세기 10 증가
Decrease velocity by 10	세기 10 감소
Increase velocity	세기 증가
Decrease velocity	세기 감소
Reset velocity	세기 초기화
Pan right by 10	오른쪽으로 패닝 10
Pan left by 10	왼쪽으로 패닝 10
Pan right	오른쪽으로 패닝
Pan left	왼쪽으로 패닝
Reset panning	패닝 초기화
Detune +10 cents	음정 +10센트
Detune -10 cents	음정 -10센트
Detune +1 cent	음정 +1센트
Detune -1 cent	음정 -1센트
Reset pitch	미세 음정 초기화
Export Branch Schematic	분기 스키매틱 내보내기
Error: Some notes are out of range!\nFix the fine pitch, or change it to a custom instrument with a higher/lower sound.	오류: 음역을 벗어난 음표가 있습니다!\n미세 음정을 수정하거나 음역이 맞는 사용자 지정 악기로 바꾸세요.
The exported schematic is currently only compatible with Minecraft: Java Edition 1.12 and below. To import it in 1.13 and above, please use the export to structure block function.\n\nThis warning will never be shown again.	스키매틱은 마인크래프트 자바 에디션 1.12 이하에서만 호환됩니다. 1.13 이상에서는 구조물 블록으로 내보내기를 사용하세요.\n\n이 경고는 다시 표시하지 않습니다.
Minecraft Compatibility	마인크래프트 호환성
Some note blocks are outside of Minecraft's 2 octave limit. Do you want to export a Schematic anyway, ignoring the affected blocks?	마인크래프트의 2옥타브 범위를 벗어난 음표가 있습니다. 해당 음표를 제외하고 스키매틱을 내보낼까요?
Some note blocks have a custom instrument assigned to them. Export anyway?	사용자 지정 악기를 사용하는 음표가 있습니다. 그래도 내보낼까요?
Some note blocks have fine pitch tuning, which isn't supported in note blocks. Export anyway?	소리 블록이 지원하지 않는 미세 음정이 있습니다. 그래도 내보낼까요?
The tempo of the song is not compatible with Minecraft. As a result, the playback speed of the song in-game will differ from the one in the program.	마인크래프트와 호환되지 않는 템포입니다. 게임에서의 재생 속도가 프로그램과 달라집니다.
Tempo	템포
There are no blocks to export!	내보낼 블록이 없습니다!
Export Schematic	스키매틱 내보내기
Schematic saved!	스키매틱을 저장했습니다!
Schematic Export	스키매틱 내보내기
Schematic export	스키매틱 내보내기
Schematic import	스키매틱 가져오기
Failed to load Schematic.\n\nERROR: Not a Schematic file.	스키매틱을 불러오지 못했습니다.\n\n오류: 스키매틱 파일이 아닙니다.
Failed to load Schematic.\n\nERROR: Invalid size.	스키매틱을 불러오지 못했습니다.\n\n오류: 크기가 잘못되었습니다.
Failed to load Schematic.\n\nERROR: No Blocks array found.	스키매틱을 불러오지 못했습니다.\n\n오류: Blocks 배열이 없습니다.
Failed to load Schematic.\n\nERROR: No Data array found.	스키매틱을 불러오지 못했습니다.\n\n오류: Data 배열이 없습니다.
Couldn't find any note blocks in the Schematic!	스키매틱에서 소리 블록을 찾을 수 없습니다!
The Schematic did not include any supported inputs.\nSupported inputs are:\n\n* Buttons\n* Levers	지원하는 입력 장치가 없습니다.\n지원하는 입력 장치:\n\n* 버튼\n* 레버
None of the note blocks in the Schematic could be added. This could be to none of them being connected to any inputs (buttons or levers).	스키매틱의 소리 블록을 추가할 수 없습니다. 버튼이나 레버에 연결되어 있는지 확인하세요.
The Schematic contained more than one input.\n\nAs a result, the songs of the inputs have been put after each other.	스키매틱에 입력 장치가 여러 개 있습니다.\n\n각 입력의 곡을 순서대로 이어 붙였습니다.
Version Local Release	로컬 빌드 버전
 - Released 	 - 출시일 
\n\nThis program is a continuation of\n Minecraft Note Block Studio, \ncreated by David Andrei. \n\nThis product is not affiliated with\nMojang Studios, Microsoft Studios\nor the game Minecraft.	\n\n이 프로그램은 David Andrei가 만든\nMinecraft Note Block Studio의\n후속 프로젝트입니다.\n\nMojang Studios, Microsoft Studios 및\n마인크래프트와 공식적인 관련이 없습니다.
Branch Export	분기 내보내기
Branch export	분기 내보내기
Design	설계
Blocks	블록
Remember changes	설정 기억
Whether to use these settings the\nnext time you export a branch.	다음에 분기를 내보낼 때도\n이 설정을 사용합니다.
Layout:	배치:
All	모두
Exports all notes.	모든 음표를 내보냅니다.
Only exports notes which have no panning values.	패닝 값이 없는 음표만 내보냅니다.
Left	왼쪽
Right	오른쪽
Only exports notes that have left stereo values.	왼쪽 패닝의 음표만 내보냅니다.
Only exports notes that have right stereo values.	오른쪽 패닝의 음표만 내보냅니다.
Polyphony:	동시 발음 수:
Main layer:	주 레이어:
Chord layer 1:	화음 레이어 1:
Chord layer 2:	화음 레이어 2:
Enable velocity	세기 반영
Whether to position the note blocks differently due to their velocity.\nIt's recommended that each layer's velocity should be the same when polyphony is higher than 1.	세기에 따라 소리 블록 위치를 조정합니다.\n동시 발음 수가 1보다 크면 레이어별 세기를 같게 설정하는 것이 좋습니다.
Export circuitry	회로 내보내기
Whether to export the ground, repeaters, and redstone.	바닥, 중계기와 레드스톤을 내보냅니다.
Size:	크기:
Range:	범위:
Start Tick	시작 틱
End Tick	끝 틱
The name of the instrument.	악기 이름입니다.
Block	블록
The ID of the block that should be placed\nbelow note blocks of the instrument.	이 악기의 소리 블록 아래에 놓을\n블록의 ID입니다.
Block name	블록 이름
The name of the block that should be\nplaced below note blocks of the instrument.	이 악기의 소리 블록 아래에 놓을\n블록의 이름입니다.
Block for circuitry:	회로용 블록:
The block that should be used for the circuitry.	회로에 사용할 블록입니다.
Export	내보내기
Please enter a range!	범위를 입력하세요!
Starting tick must be lower than ending tick!	시작 틱은 끝 틱보다 작아야 합니다!
The ending tick is larger than the song!\nThe size of the song is 	끝 틱이 곡 길이를 넘습니다!\n곡 길이: 
Use default	기본값 사용
General	일반
Interface	인터페이스
Appearance	외관
Usability	사용 편의
Playback	재생
Language	언어
Theme	테마
Dark mode	다크 모드
Dark	어둡게
Light	밝게
Classic	클래식
Fluent	Fluent
Aqua	Aqua
Icon	아이콘
Fruity icon	macOS 스타일 아이콘
Advanced	고급
Startup	시작
Updates	업데이트
Auto-saving	자동 저장
Enable auto-saving	자동 저장 사용
Interval:       minute	간격:       분
Whether the song should automatically\nbe saved every now and then.	일정한 간격으로 곡을\n자동 저장합니다.
The amount of minutes between each auto-save.	자동 저장 간격 (분)입니다.
Show greeting window	시작 화면 표시
Whether to show the greeting window\nwhen the program is opened.	프로그램을 시작할 때\n시작 화면을 표시합니다.
Check for updates	업데이트 확인
Whether to check for any updates\nwhen the program is opened.	프로그램 시작 시\n업데이트를 확인합니다.
Check for development versions	개발 버전 확인
Whether to check for development versions in addition to stable releases.\nDevelopment versions contain the latest improvements, but may be potentially unstable.	안정 버전 외에 개발 버전도 확인합니다.\n개발 버전에는 최신 개선 사항이 있지만 불안정할 수 있습니다.
Auto-play downloaded songs	다운로드한 곡 자동 재생
Whether to start playing downloaded songs\nautomatically after opening them.	다운로드한 곡을 열면\n자동으로 재생합니다.
Show warning when opening older songs	이전 형식의 곡을 열 때 경고
Whether to show a warning when opening a song\nsaved in an older version of Note Block Studio.	이전 버전의 Note Block Studio에서\n저장한 곡을 열 때 경고합니다.
Song folder	곡 폴더
Song folder: 	곡 폴더: 
Pattern folder	패턴 폴더
Pattern folder: 	패턴 폴더: 
Select song folder	곡 폴더 선택
Select patterns folder	패턴 폴더 선택
Select the directory where saving/loading should be opened in.	곡을 저장하거나 불러올 기본 폴더를 선택합니다.
Select the directory where patterns can be imported/exported to.	패턴을 가져오거나 내보낼 기본 폴더를 선택합니다.
Change	변경
Reset	초기화
OK	확인
Cancel	취소
Yes	예
No	아니요
Close song	곡 닫기
Close other songs	다른 곡 닫기
Close songs to the right	오른쪽 곡 닫기
Transparency effects	투명 효과
Whether to show transparency effects on the interface.\n(Only applies to the Fluent theme.)	인터페이스에 투명 효과를 사용합니다.\n(Fluent 테마 전용)
Whether to use darker colors on the interface.\n(Only applies to the Fluent theme.)	인터페이스에 어두운 색을 사용합니다.\n(Fluent 테마 전용)
Scale:               %	배율:               %
Optimize for high resolutions	고해상도 최적화
Whether to use higher resolution textures on the interface.\n	인터페이스에 고해상도 텍스처를 사용합니다.\n
(May reduce performance and reduce readability at lower resolutions.)	(성능이 떨어지거나 저해상도에서 읽기 어려워질 수 있습니다.)
(Only applies to the Fluent theme.)	(Fluent 테마 전용)
Whether to use the a fruity themed icon instead of the regular icon.	기본 아이콘 대신 macOS 스타일 아이콘을 사용합니다.
Whether to show the advanced interfaces settings.	고급 인터페이스 설정을 표시합니다.
Turn off background blurring	배경 흐림 끄기
Turn off background dimming	배경 어둡게 처리 끄기
Turn off editing area background	편집 영역 배경 끄기
Whether to turn off the blurring effect on the background image.	배경 이미지의 흐림 효과를 끕니다.
Whether to turn off the dimming effect on the background image.	배경 이미지를 어둡게 처리하지 않습니다.
Whether to turn off the background of the editing area.	편집 영역의 배경을 표시하지 않습니다.
Navigation sound	조작 효과음
Whether to play sound effects when navigating the interface.\n(Only applies to the Fluent theme.)	인터페이스 조작 시 효과음을 재생합니다.\n(Fluent 테마 전용)
Enable taskbar indicator	작업 표시줄 진행률
Whether to display the song\nprogress on the taskbar.	작업 표시줄에 곡의\n재생 진행률을 표시합니다.
Enable Discord Rich Presence	Discord 활동 표시
Whether to display info about your current\nsong in your Discord status activity.	현재 곡 정보를 Discord\n활동 상태에 표시합니다.
Show piano	피아노 표시
Whether the piano should be visible.	피아노 건반을 표시합니다.
Show layer boxes	레이어 상자 표시
Whether the layer boxes should be shown\non the left side of the workspace.	작업 영역 왼쪽에\n레이어 상자를 표시합니다.
Show layer volumes	레이어 음량 표시
Whether to show the volume of layers.	레이어의 음량을 표시합니다.
Show key numbers	음표 번호 표시
Whether to show the amount of right-clicks required\nfor each note block.	소리 블록의 음을 맞추는 데 필요한\n우클릭 횟수를 표시합니다.
Whether to show the amount of right-clicks required\non each key inside the 2 octave range.	2옥타브 범위 내 각 건반에\n필요한 우클릭 횟수를 표시합니다.
Show octave numbers	옥타브 번호 표시
Whether the number of the octave the note block\nis in should be shown.	소리 블록의 옥타브\n번호를 표시합니다.
Use colored note blocks	악기별 색상 사용
If the instruments should be identified with\ndifferent colors.	악기를 서로 다른 색으로\n구분합니다.
Show instrument icons	악기 아이콘 표시
If the instruments should be identified with\ntheir respective icons.	악기를 각각의 아이콘으로\n구분합니다.
Use different shapes for each instrument	악기별 모양 사용
If the instruments should be identified\nwith different shapes.	악기를 서로 다른 모양으로\n구분합니다.
Add glow	발광 효과
Whether to add a glowing effect to each note block.	소리 블록에 빛나는 효과를 추가합니다.
Show effect on removal	삭제 효과 표시
Whether to show a fading border\nwhen removing a note block.	소리 블록을 삭제할 때\n사라지는 테두리 효과를 표시합니다.
Highlight incompatible note blocks	호환되지 않는 블록 강조
Whether to show a red outline on note blocks with\ncustom instruments or outside the 2 octave range.	사용자 지정 악기나 2옥타브 범위를 벗어난\n소리 블록에 빨간 테두리를 표시합니다.
Selection highlight intensity:         %	선택 강조 강도:         %
Show key names	음 이름 표시
If the names of the keys should be shown.	건반의 음 이름을 표시합니다.
Use flat symbol	플랫 기호 사용
Whether to use the flat symbol (b) instead of\nthe sharp symbol (#) on keynames.	음 이름에 샤프 (#) 대신\n플랫 (b) 기호를 사용합니다.
Show keyboard shortcuts	단축키 표시
Show the keyboard shortcuts of the keys.	건반의 키보드 단축키를 표시합니다.
Highlight out-of-range keys	음역 밖 건반 강조
Whether to show a red tint on keys\noutside of the 2 octave range.	2옥타브 범위를 벗어난 건반을\n빨간색으로 표시합니다.
Show note chart when hovering over keys	건반 위에 음표 표 표시
Whether to show a note chart\nwhen hovering over the keys.	건반에 마우스를 올리면\n음표 표를 표시합니다.
